ID,SOCIAL_dprime,MONETARY_dprime,SOCIAL_dprime_mine,MONETARY_dprime_mine,SOCIAL_bias_c,MONETARY_bias_c,SOCIAL_TrueMem,SOCIAL_FalseMem,SOCIAL_TotalTrials,MONETARY_TrueMem,MONETARY_FalseMem,MONETARY_TotalTrials
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s1000,-0.0188683429053245,-0.528404950012741,-0.08047526943469874,-0.6312319897734016,-0.7244720390690378,-0.0813968009720811,30.0,31.0,79.0,16.0,26.0,79.0
s1143,0.0,-0.295722699452161,0.0,-0.29572269945216134,-0.058326735272993174,-0.14786134972608067,22.0,22.0,84.0,21.0,26.0,84.0
s1170,0.0688553126748033,0.593384585071591,-0.18247949864364876,0.5671247192035078,0.10634049354131245,1.496901982090272,17.0,20.0,81.0,4.0,1.0,78.0
s1228-pilot,-0.282216147062508,0.0624968021895535,-0.4155425699075777,0.06249680218955339,-0.14944454968079582,-0.3031284064940375,20.0,27.0,84.0,26.0,25.0,82.0
s1253,0.168763386635755,-0.121886963565068,0.12188696356506776,-0.12188696356506776,0.2962723528520508,0.2962723528520508,17.0,15.0,84.0,15.0,17.0,84.0
s1287,0.118130616242071,0.532997955650253,0.058326735272993174,0.5329979556502529,-0.029163367636496587,-0.09071685680945821,22.0,21.0,84.0,27.0,18.0,84.0
s1323,0.208138347398047,-0.205378848174589,0.11804032596246508,-0.5979074628648833,-0.014771110827040149,-0.6763456752609955,22.0,20.0,83.0,27.0,35.0,83.0
s1324,0.457709323699191,-0.0446297397038927,0.7557465523476826,-0.12933094386836502,-1.0810787461889846,-0.39904227952299665,38.0,31.0,81.0,26.0,28.0,82.0
s1350,-0.803087545292006,0.0828243467745477,-1.247603625676869,-0.06594347005399065,-1.7025460612024061,0.31881260990816096,24.0,29.0,55.0,14.0,15.0,78.0
s1476,0.173141855563359,0.228997012888613,0.24473445651305162,0.17886995273582934,-0.21200957933228837,0.20628772308424667,26.0,22.0,82.0,19.0,16.0,84.0
s1595,0.061183224940666,0.361764774666418,0.0,0.3617647746664182,-0.0,0.23920912260620214,20.0,20.0,80.0,20.0,14.0,84.0
s1630,0.167791778907089,0.157310684610171,0.16779177890708863,0.06058277849247866,-0.8529512189048243,-0.0756074051756121,35.0,33.0,84.0,22.0,21.0,81.0
s169,0.24881930407957,0.470657742139034,0.17886995273582948,0.470657742139034,-0.2062877230842466,-6.938893903907228e-17,26.0,23.0,84.0,25.0,17.0,84.0
s1694,,,,,,,,,,,,
s1694,,,,,,,,,,,,
s172,0.0,0.349346537964441,0.0,0.29888909936159164,0.17578212101566826,0.20777128495378885,18.0,18.0,84.0,20.0,15.0,84.0
s1745,-0.0243937057215534,0.190215223912565,-0.17734481378033565,-0.14848705764374204,-0.04442335473597543,-0.694811800629409,20.0,23.0,83.0,31.0,33.0,84.0
s191,-0.570204552123628,0.281799170959072,-0.8039074066361738,0.30022614844382645,0.20908120468631972,0.691508159351001,11.0,24.0,83.0,12.0,8.0,83.0
s243,0.0284669400372114,0.295722699452161,0.06058277849247866,0.29572269945216134,-0.0756074051756121,0.14786134972608067,22.0,21.0,81.0,21.0,16.0,84.0
s313,0.818793286694756,0.0780181864593462,0.6912256974381642,0.0,-0.3013637965648897,0.19758024286313683,31.0,20.0,83.0,17.0,17.0,81.0
s331,-0.178250277610936,0.235328871069517,-0.23410885628866143,0.23532887106951692,0.05872769287133754,0.11766443553475846,18.0,22.0,84.0,21.0,17.0,84.0
s333,0.05326464101823,0.0,0.0,0.0,0.116852746716332,-0.058326735272993174,19.0,19.0,84.0,22.0,22.0,84.0
s35,0.172740922138301,-0.154591335230352,-0.37848109308384215,-0.6016895314043782,-0.608536299583317,-0.45060677814681604,26.0,31.0,78.0,23.0,32.0,82.0
s4074,-0.0642045089353825,0.571550776830714,-0.11745538574267522,0.559389724821435,0.11705442814433065,1.5284225076464537,18.0,20.0,84.0,4.0,1.0,83.0
s4127,-0.434832241411332,0.710728594178287,-0.6044493876864356,0.7107285941782868,-0.13931334522029984,-0.41369103236213656,18.0,28.0,83.0,33.0,22.0,84.0
s418,0.222139967486945,0.177002135796524,0.1312561851811268,0.17700213579652388,-0.48571960252997454,-0.1468278031712551,30.0,28.0,84.0,25.0,22.0,84.0
s4210,-0.0090168049555861,0.0,-0.340577470859746,0.0,-2.156059138610968,-2.221519588337836,41.0,42.0,83.0,37.0,37.0,74.0
s4222,0.185296901566562,-0.0086703160790748,0.06472227051954499,-0.06066638180329778,-0.2985114364666468,0.18009520334627582,25.0,24.0,79.0,17.0,18.0,82.0
s4272,0.424854982574032,0.0778433891937071,0.34011294260726754,0.0,0.5044332788924479,1.3829941271006383,15.0,10.0,82.0,3.0,3.0,82.0
s4326,-0.295722699452161,0.576472060007931,-0.36422205050805373,0.41625845175871773,-0.1522657823347873,-0.04521787725644086,20.0,26.0,82.0,25.0,18.0,83.0
s4331,0.143779985335733,-0.0936558363488181,-0.07233207342005077,-0.24430938892374288,-0.6567343085175633,-0.2979368154775397,31.0,32.0,84.0,24.0,28.0,84.0
s4342,-0.0877255221695907,0.068211943056083,-0.17627919926483626,0.0,1.4646143517087746,1.248727645235736,2.0,3.0,81.0,4.0,4.0,83.0
s4345,-0.04157114185023,0.415542569907578,-0.12745906138819657,0.4155425699075779,0.420945365328683,0.14944454968079574,13.0,15.0,84.0,22.0,15.0,84.0
s4347,0.0054437232955712,0.118476124353185,-0.11685274671633186,0.11847612435318519,-0.05842637335816593,-0.17609080889292444,21.0,23.0,84.0,25.0,23.0,84.0
s4348,0.200730779575646,0.191273470078331,0.11866229646872561,0.12327702605619181,0.1035802003885552,-0.12281392406664703,20.0,18.0,83.0,23.0,21.0,80.0
s4351,-0.24881930407957,0.434494948404206,-0.29888909936159164,0.4344949484042057,0.20777128495378885,0.33410022091843483,15.0,20.0,84.0,19.0,12.0,84.0
s4361,-0.0146892307379638,0.106791839843805,-0.20822544920480746,0.06287567530482657,0.588787620625185,0.388653672286998,10.0,13.0,84.0,15.0,14.0,84.0
s4362,0.058326735272993,0.128973013305268,0.058326735272993036,0.059546750053848796,0.029163367636496518,-0.20555549604259266,21.0,20.0,84.0,25.0,24.0,84.0
s4417,0.038729419982995,-0.395925659105986,0.0,-0.19321794627291627,-0.2909568287973069,-0.03229213801258373,25.0,25.0,81.0,18.0,21.0,76.0
s4418,0.31493534688753,0.640737619167272,0.3941981685886246,0.6028439563194985,-0.0,0.7901983892744188,18.0,13.0,62.0,12.0,5.0,78.0
s4419,0.0583267352729932,0.601527642739113,0.058326735272993174,0.6015276427391131,-0.029163367636496587,0.1839110746532247,22.0,21.0,84.0,23.0,13.0,84.0
s4423,0.191986299701253,0.340694827087795,-0.39897845888000005,0.2373959641791683,-1.2594627929228257,0.1770247173625772,35.0,38.0,81.0,20.0,16.0,84.0
s4427,0.308892775007113,-0.157310684610171,0.308892775007113,-0.29679910474863946,-0.33022850851922475,0.07460827856604706,29.0,24.0,84.0,17.0,22.0,83.0
s4429,0.262403764469968,0.385499413237831,0.26240376446996727,0.3854994132378309,0.9002572116862635,0.7440974017394532,9.0,6.0,84.0,12.0,7.0,84.0
s4436,-0.576606437651567,0.353242622715345,-0.5766064376515667,0.3532426227153447,-0.13099253421561263,0.5748302324913328,17.0,26.0,78.0,14.0,9.0,82.0
s4440,0.3961669288915,0.455728844396844,0.2975961552899921,0.40675871766554306,-0.10454902549080367,-0.5181429251495715,25.0,20.0,83.0,32.0,26.0,83.0
s4446,0.0572588738552984,0.157310684610171,-0.22444728890440313,0.0,-0.6880894611965273,-0.07379127380827269,30.0,33.0,83.0,22.0,22.0,83.0
s4447,-0.0684851720811269,0.188265869171277,-0.23058632556850756,0.06667279909775647,0.7263280707886604,0.5180112955716595,8.0,11.0,83.0,13.0,12.0,84.0
s4449,-0.125407694597969,0.593273208435612,-0.28638353836333263,0.5932732084356117,-0.993149050073724,-0.4724187252334741,34.0,37.0,84.0,33.0,24.0,84.0
s4450,0.200476761868127,0.17886995273583,0.2004767618681268,0.17886995273582948,-0.5203298908734746,-0.2062877230842466,31.0,28.0,84.0,26.0,23.0,84.0
s4459,0.0251415140474502,-0.076154984223691,0.0,-0.07615498422369116,1.3957469929496678,0.7309778373394342,3.0,3.0,84.0,9.0,10.0,84.0
s4475,0.191782278698844,0.0940925787224936,0.06414609523496373,0.0,-0.4094649914460358,-0.07379127380827269,28.0,27.0,83.0,22.0,22.0,83.0
s4482,0.48347595158212,1.06606790255524,0.24844690868903355,0.9949685088207534,-0.2739854667891437,-0.033776502953197673,27.0,23.0,82.0,29.0,13.0,82.0
s4531,0.567644228882509,0.33463952164755,0.6003997747689207,0.2532793572092543,-0.07719205644409358,-0.337068072852552,27.0,17.0,83.0,28.0,24.0,82.0
s454,0.256716210337876,-0.103700242278759,0.18624661640366497,-0.08727825807435652,0.31613113914219926,0.8852603626100924,17.0,14.0,83.0,7.0,8.0,83.0
s4631,0.642031347947372,-0.0583267352729932,0.4264622541084133,-0.11948759399500211,0.04635800174894021,-0.02989855407826149,23.0,16.0,81.0,20.0,22.0,82.0
s4643,-0.06458338608337,0.415542569907578,-0.06458338608337011,0.4155425699075779,-0.4523832029810962,0.14944454968079574,28.0,29.0,84.0,22.0,15.0,84.0
s4650,-0.0054314896994285,0.591423859566715,-0.12875115066447074,0.42821944927533484,-0.35533240412954226,-0.5687066681676493,25.0,27.0,81.0,32.0,26.0,81.0
s523,-0.116852746716332,0.0365511343297439,-0.11685274671633186,0.060913605602806065,-0.05842637335816593,0.25346463374176986,21.0,23.0,84.0,17.0,16.0,83.0
s578,0.265877456532922,0.0123083061281182,0.3000181597888971,-0.17578212101566826,-0.16475448642235146,-0.08789106050783413,26.0,21.0,83.0,21.0,24.0,84.0
s601,0.30036827056557,-0.119940578436493,0.23532887106951705,-0.11994057843649308,-0.11766443553475853,-0.2357524102339148,25.0,21.0,84.0,24.0,26.0,84.0
s606,-0.116852746716332,0.592544705704102,-0.11685274671633186,0.5925447057041016,-0.05842637335816593,-0.06094348178253388,21.0,23.0,84.0,27.0,17.0,84.0
s673,0.0415454450007506,0.543001631295774,-0.05977673700562394,0.5430016312957743,-0.16298413012895524,-0.2131740803748941,23.0,24.0,83.0,29.0,20.0,84.0
s692,0.239404363520389,-0.380272610101465,0.23940436352038946,-0.48785127220942304,0.030059830684432187,0.15428328502894895,22.0,18.0,82.0,14.0,22.0,82.0
s701,0.134827304366587,-0.128973013305268,0.18461479514418724,-0.17886995273582934,0.24206941001672055,0.20628772308424667,18.0,15.0,82.0,16.0,19.0,84.0
s730,0.405703780460578,0.403666427432101,0.31599882612606267,0.3207809218640283,1.4067270582987674,1.3737300834205322,4.0,2.0,83.0,4.0,2.0,78.0
s745,-0.446858185710347,0.0620799184068114,-0.480789994967448,-0.06511103593179579,-0.13699694634482995,-0.38715246149587973,19.0,27.0,83.0,26.0,27.0,81.0
s807,0.402693621597498,0.300070745323687,0.3040475724076491,0.30007074532368727,-0.0764510605197944,0.06039302158608108,24.0,19.0,81.0,22.0,17.0,82.0
s820,0.0485359327076486,-0.0896636762048601,0.0,-0.17718932494716677,0.31060942538225567,0.014803388665310696,15.0,15.0,80.0,19.0,22.0,83.0
s858,-0.234108856288661,0.122350822077102,-0.23410885628866143,0.12235082207710223,0.05872769287133754,-0.0,18.0,22.0,84.0,21.0,19.0,80.0
s926,0.294461227762676,0.358523537638774,0.24934602495326433,0.40675871766554306,0.3600018835461491,-0.5181429251495715,17.0,13.0,84.0,32.0,26.0,83.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
test1,0.058326735272993,-0.182554987668341,-0.06117541103855111,-0.5645153702737808,0.030587705519275556,0.15967684124808784,19.0,20.0,80.0,13.0,22.0,80.0
